pit_stop_id,race_id,driver_id,constructor_id,lap,stop_number,duration_ms
1,840,153,5,1,1,26898
2,840,30,130,1,1,25021
3,840,17,9,11,1,23426
4,840,4,6,12,1,23251
5,840,13,6,13,1,23842
6,840,22,3,13,1,23643
7,840,20,9,14,1,22603
8,840,814,10,14,1,24863
9,840,816,165,14,1,25259
10,840,67,5,15,1,25342
11,840,2,4,15,1,22994
12,840,1,1,16,1,23227
13,840,809,4,16,1,24535
14,840,3,130,16,1,23716
15,840,155,15,16,1,24064
16,840,16,10,16,1,25978
17,840,15,203,16,1,24899
18,840,18,1,17,1,16867
19,840,153,5,17,2,24463
20,840,5,203,17,1,24865
21,840,30,130,17,2,23988
22,840,10,165,18,1,23792
23,840,18,1,19,2,23303
24,840,815,15,23,1,23438
25,840,22,3,23,2,37856
26,840,17,9,26,2,22520
27,840,4,6,27,2,24733
28,840,22,3,28,3,16892
29,840,67,5,29,2,23100
30,840,2,4,30,2,25098
31,840,13,6,31,2,24500
32,840,155,15,32,2,24192
33,840,20,9,36,2,24036
34,840,1,1,36,2,23199
35,840,153,5,35,3,26348
36,840,809,4,36,2,25683
37,840,814,10,36,2,24332
38,840,18,1,37,3,22681
39,840,16,10,37,2,23871
40,840,15,203,37,2,24848
41,840,816,165,38,2,26446
42,840,17,9,41,3,26230
43,840,22,3,40,4,26309
44,840,4,6,42,3,24181
45,840,13,6,48,3,24095
46,841,16,10,3,1,31694
47,841,22,3,3,1,32978
48,841,17,9,10,1,22572
49,841,814,10,11,1,22773
50,841,1,1,12,1,22552
51,841,20,9,13,1,23019
52,841,2,4,13,1,23900
53,841,18,1,13,1,22400
54,841,13,6,13,1,29224
55,841,15,203,13,1,25516
56,841,4,6,14,1,23152
57,841,30,130,14,1,22576
58,841,809,4,15,1,23182
59,841,67,5,15,1,23280
60,841,3,130,15,1,24967
61,841,5,203,15,1,29084
62,841,153,5,16,1,23584
63,841,16,10,16,2,22046
64,841,155,15,17,1,23280
65,841,815,15,17,1,23597
66,841,10,165,17,1,24617
67,841,816,165,17,1,26252
68,841,24,163,17,1,27815
69,841,22,3,17,2,24502
70,841,67,5,20,2,29843
71,841,17,9,22,2,21991
72,841,18,1,23,2,22471
73,841,1,1,24,2,22611
74,841,814,10,24,2,22419
75,841,20,9,25,2,21893
76,841,4,6,26,2,23894
77,841,2,4,26,2,23221
78,841,13,6,27,2,22541
79,841,809,4,27,2,22680
80,841,30,130,28,2,22261
81,841,3,130,29,2,22577
82,841,17,9,32,3,22069
83,841,153,5,32,2,22888
84,841,16,10,32,3,22550
85,841,67,5,32,3,27439
86,841,5,203,34,2,23336
87,841,10,165,34,2,24429
88,841,816,165,35,2,24416
89,841,155,15,36,2,23442
90,841,1,1,37,3,25382
91,841,814,10,37,3,23977
92,841,18,1,38,3,22483
93,841,13,6,38,3,22893
94,841,2,4,39,3,22602
95,841,24,163,38,2,26554
96,841,3,130,40,3,22526
97,841,20,9,41,3,22313
98,841,4,6,41,3,23812
99,841,30,130,42,3,22227
100,841,17,9,43,4,22161
101,841,809,4,44,3,28694
102,841,4,6,46,4,27182
103,841,24,163,44,3,38823
104,841,1,1,52,4,22466
105,842,153,5,9,1,22419
106,842,24,163,9,1,14160
107,842,30,130,10,1,20522
108,842,17,9,10,1,23442
109,842,813,3,10,1,23160
110,842,814,10,11,1,21989
111,842,3,130,12,1,20771
112,842,67,5,12,1,22010
113,842,18,1,14,1,23779
114,842,20,9,14,1,21995
115,842,155,15,14,1,21855
116,842,13,6,15,1,21624
117,842,1,1,15,1,20878
118,842,16,10,15,1,20989
119,842,4,6,16,1,22524
120,842,815,15,16,1,21473
121,842,22,3,16,1,21709
122,842,67,5,16,2,24722
123,842,10,165,16,1,22683
124,842,809,4,17,1,21981
125,842,2,4,18,1,22216
126,842,5,203,19,1,22485
127,842,15,203,20,1,23029
128,842,816,165,20,1,22901
129,842,24,163,21,2,24467
130,842,39,163,23,1,26049
131,842,18,1,24,2,20758
132,842,3,130,25,2,22005
133,842,1,1,25,2,20533
134,842,17,9,25,2,21132
135,842,813,3,25,2,22062
136,842,30,130,26,2,21964
137,842,10,165,28,2,21908
138,842,16,10,30,2,21058
139,842,155,15,30,2,21936
140,842,2,4,30,2,21821
141,842,20,9,31,2,21533
142,842,4,6,32,2,21251
143,842,814,10,32,2,21218
144,842,13,6,33,2,21168
145,842,67,5,33,3,21928
146,842,816,165,34,2,22802
147,842,22,3,35,2,21481
148,842,815,15,36,2,23397
149,842,18,1,37,3,21237
150,842,809,4,37,2,22005
151,842,1,1,38,3,20567
152,842,3,130,39,3,20720
153,842,30,130,39,3,21400
154,842,17,9,40,3,21091
155,842,10,165,39,3,33827
156,842,5,203,40,2,21890
157,842,813,3,40,3,27620
158,842,15,203,42,2,22260
159,842,24,163,45,3,23499
160,842,16,10,47,3,28708
161,842,815,15,48,3,13900
162,842,815,15,50,4,28845
163,843,815,15,1,1,29270
164,843,30,130,2,1,30182
165,843,809,4,8,1,21422
166,843,13,6,9,1,22022
167,843,1,1,9,1,20833
168,843,67,5,9,1,21769
169,843,17,9,10,1,21050
170,843,4,6,10,1,21308
171,843,3,130,10,1,22573
172,843,2,4,10,1,22300
173,843,22,3,10,1,22717
174,843,16,10,10,1,21649
175,843,20,9,11,1,20623
176,843,814,10,11,1,20775
177,843,813,3,11,1,23881
178,843,18,1,13,1,21368
179,843,155,15,13,1,21820
180,843,153,5,13,1,22713
181,843,15,203,13,1,23066
182,843,30,130,14,2,20907
183,843,39,163,14,1,27353
184,843,5,203,15,1,22854
185,843,24,163,15,1,24634
186,843,815,15,16,2,22895
187,843,816,165,16,1,22779
188,843,24,163,16,2,56611
189,843,809,4,19,2,21323
190,843,1,1,20,2,21075
191,843,17,9,21,2,20421
192,843,3,130,22,2,20927
193,843,2,4,22,2,21919
194,843,4,6,23,2,21732
195,843,13,6,23,2,21322
196,843,67,5,23,2,22128
197,843,155,15,23,2,23455
198,843,22,3,24,2,22868
199,843,814,10,24,2,20930
200,843,20,9,25,2,20112
201,843,16,10,25,2,21084
202,843,813,3,25,2,22555
203,843,15,203,25,2,22862
204,843,18,1,26,2,22639
205,843,39,163,27,2,24962
206,843,153,5,29,2,21826
207,843,30,130,30,3,20379
208,843,5,203,31,2,21633
209,843,814,10,32,3,20887
210,843,815,15,32,3,22365
211,843,3,130,33,3,20949
212,843,1,1,34,3,35688
213,843,816,165,33,2,24837
214,843,809,4,34,3,21838
215,843,13,6,34,3,23471
216,843,17,9,35,3,20843
217,843,4,6,36,3,21702
218,843,2,4,36,3,20872
219,843,24,163,35,3,25125
220,843,155,15,38,3,22456
221,843,18,1,39,3,21417
222,843,153,5,39,3,21986
223,843,20,9,40,3,20385
224,843,15,203,39,3,22219
225,843,67,5,40,3,22032
226,843,22,3,40,3,21687
227,843,16,10,40,3,21006
228,843,24,163,37,4,43603
229,843,813,3,41,3,21827
230,843,815,15,42,4,21715
231,843,3,130,44,4,20308
232,843,814,10,44,4,21403
233,843,17,9,45,4,22087
234,843,809,4,45,4,21662
235,843,30,130,45,4,20597
236,843,4,6,46,4,21379
237,843,813,3,45,4,13925
238,843,1,1,46,4,22041
239,843,2,4,46,4,21884
240,843,13,6,46,4,26685
241,843,20,9,47,4,20489
242,843,39,163,45,3,24474
243,843,5,203,53,3,23114
244,843,153,5,55,4,21931
245,844,155,15,1,1,24871
246,844,815,15,7,1,23592
247,844,813,3,8,1,22689
248,844,20,9,9,1,20253
249,844,67,5,9,1,20818
250,844,4,6,10,1,20567
251,844,17,9,10,1,20881
252,844,30,130,10,1,20084
253,844,1,1,11,1,19761
254,844,809,4,11,1,21856
255,844,3,130,11,1,20647
256,844,13,6,11,1,20800
257,844,153,5,11,1,20741
258,844,22,3,11,1,29936
259,844,16,10,13,1,20773
260,844,18,1,14,1,20015
261,844,39,163,14,1,24843
262,844,814,10,15,1,20070
263,844,15,203,15,1,22364
264,844,5,203,16,1,21019
265,844,24,163,16,1,23157
266,844,10,165,16,1,22744
267,844,816,165,17,1,23176
268,844,20,9,18,2,19887
269,844,4,6,19,2,20238
270,844,17,9,19,2,20079
271,844,813,3,20,2,24821
272,844,13,6,21,2,21635
273,844,2,4,21,1,21322
274,844,1,1,23,2,20235
275,844,22,3,23,2,21226
276,844,153,5,24,2,20872
277,844,67,5,25,2,24745
278,844,155,15,25,2,21128
279,844,30,130,26,2,20487
280,844,809,4,26,2,24232
281,844,3,130,27,2,19534
282,844,4,6,29,3,20738
283,844,17,9,29,3,20279
284,844,5,203,28,2,20807
285,844,815,15,29,2,21143
286,844,15,203,29,2,21723
287,844,39,163,28,2,24448
288,844,18,1,30,2,20763
289,844,16,10,30,2,20267
290,844,814,10,32,2,20126
291,844,20,9,34,3,20426
292,844,1,1,35,3,20473
293,844,816,165,34,2,22982
294,844,22,3,35,3,20650
295,844,13,6,36,3,22419
296,844,813,3,36,3,21574
297,844,2,4,36,2,21953
298,844,153,5,36,3,21019
299,844,4,6,39,4,20380
300,844,10,165,38,2,21632
301,844,30,130,41,3,20451
302,844,809,4,41,3,21739
303,844,5,203,41,3,23068
304,844,3,130,42,3,20395
305,844,67,5,42,3,20819
306,844,15,203,43,3,23001
307,844,155,15,44,3,20500
308,844,17,9,47,4,19984
309,844,20,9,48,4,20292
310,844,815,15,47,3,21829
