qualify_id,race_id,driver_id,constructor_id,position,q1_time_ms,q2_time_ms,q3_time_ms
1,18,1,1,1,86572,85187,86714
2,18,9,2,2,86103,85315,86869
3,18,5,1,3,85664,85452,87079
4,18,13,6,4,85994,85691,87178
5,18,2,2,5,85960,85518,87236
6,18,15,7,6,86426,86101,88527
7,18,3,3,7,86295,86059,88687
8,18,14,9,8,86381,86063,89041
9,18,10,7,9,86919,86164,89593
10,18,20,5,10,86702,85842,0
11,18,22,11,11,86369,86173,0
12,18,4,4,12,86907,86188,0
13,18,18,11,13,86712,86259,0
14,18,6,3,14,86890,86413,0
15,18,17,9,15,86914,0,0
16,18,8,6,16,86140,0,0
17,18,21,10,17,87207,0,0
18,18,7,5,18,87446,0,0
19,18,16,10,19,87859,0,0
20,18,11,8,20,88208,0,0
21,18,12,4,21,88330,0,0
22,18,19,8,22,89059,0,0
23,19,13,6,1,95347,94412,95747
24,19,8,6,2,95645,94188,96229
25,19,5,1,3,95227,94759,96613
26,19,1,1,4,95392,94627,96709
27,19,15,7,5,95205,94960,96711
28,19,9,2,6,95794,94811,96727
29,19,2,2,7,95729,94648,96753
30,19,17,9,8,95440,94967,97009
31,19,4,4,9,95983,95140,98450
32,19,10,7,10,95890,95000,99656
33,19,18,11,11,95847,95208,0
34,19,14,9,12,96058,95408,0
35,19,12,4,13,96074,95562,0
36,19,22,11,14,96198,95622,0
37,19,20,5,15,96110,95648,0
38,19,3,3,16,95843,95670,0
39,19,21,10,17,96240,0,0
40,19,6,3,18,96388,0,0
41,19,7,5,19,96676,0,0
42,19,11,8,20,97087,0,0
43,19,16,10,21,97101,0,0
44,19,19,8,22,97481,0,0
45,20,9,2,1,92893,91745,93096
46,20,13,6,2,91937,91188,93122
47,20,1,1,3,92750,91922,93292
48,20,8,6,4,92652,91933,93418
49,20,5,1,5,93057,91718,93488
50,20,2,2,6,93137,91908,93737
51,20,15,7,7,92493,92158,93994
52,20,3,3,8,92902,92185,94015
53,20,18,11,9,92793,92362,95057
54,20,4,4,10,92947,92345,95115
55,20,17,9,11,93194,92371,0
56,20,22,11,12,92944,92508,0
57,20,10,7,13,92800,92527,0
58,20,12,4,14,92975,92789,0
59,20,7,5,15,93414,92914,0
60,20,6,3,16,93386,92943,0
