result_id,race_id,driver_id,constructor_id,status_id,position,grid,positions_gained,points,laps,milliseconds,fastest_lap,rank,fastest_lap_time_ms,fastest_lap_speed
1,18,1,1,1,1,1,0.0,10.0,58,5690616.0,39,2,87452,218.3
2,18,2,2,1,2,5,3.0,8.0,58,5696094.0,41,3,87739,217.586
3,18,3,3,1,3,7,4.0,6.0,58,5698779.0,41,5,88090,216.719
4,18,4,4,1,4,11,7.0,5.0,58,5707797.0,58,7,88603,215.464
5,18,5,1,1,5,3,-2.0,4.0,58,5708630.0,43,1,87418,218.385
6,18,6,3,11,6,13,7.0,3.0,57,0.0,50,14,89639,212.974
7,18,7,5,5,7,17,10.0,2.0,55,0.0,22,12,89533,213.224
8,18,8,6,5,8,15,7.0,1.0,53,0.0,20,4,87902,217.18
9,18,9,2,4,0,2,2.0,0.0,47,0.0,15,9,88753,215.1
10,18,10,7,3,0,18,18.0,0.0,43,0.0,23,13,89558,213.166
11,18,11,8,7,0,19,19.0,0.0,32,0.0,24,15,90892,210.038
12,18,12,4,8,0,20,20.0,0.0,30,0.0,20,16,91384,208.907
13,18,13,6,5,0,4,4.0,0.0,29,0.0,23,6,88175,216.51
14,18,14,9,4,0,8,8.0,0.0,25,0.0,21,11,89502,213.3
15,18,15,7,10,0,6,6.0,0.0,19,0.0,18,10,89310,213.758
16,18,16,10,9,0,22,22.0,0.0,8,0.0,8,17,92021,207.461
17,18,17,9,4,0,14,14.0,0.0,0,0.0,0,0,0,0.0
18,18,18,11,4,0,12,12.0,0.0,0,0.0,0,0,0,0.0
19,18,19,8,4,0,21,21.0,0.0,0,0.0,0,0,0,0.0
20,18,20,5,4,0,9,9.0,0.0,0,0.0,0,0,0,0.0
21,18,21,10,4,0,16,16.0,0.0,0,0.0,0,0,0,0.0
22,18,22,11,2,0,10,10.0,0.0,58,0.0,44,8,88736,215.141
23,19,8,6,1,1,2,1.0,10.0,56,5478555.0,37,2,95405,209.158
24,19,9,2,1,2,4,2.0,8.0,56,5498125.0,39,6,95920,208.033
25,19,5,1,1,3,8,5.0,6.0,56,5517005.0,19,7,95922,208.031
26,19,15,7,1,4,3,-1.0,5.0,56,5524387.0,53,8,96068,207.715
27,19,1,1,1,5,9,4.0,4.0,56,5525103.0,53,3,95462,209.033
28,19,2,2,1,6,5,-1.0,3.0,56,5528388.0,55,1,95366,209.244
29,19,17,9,1,7,6,-1.0,2.0,56,5546685.0,53,12,96696,206.366
30,19,4,4,1,8,7,-1.0,1.0,56,5548596.0,40,10,96288,207.24
31,19,14,9,1,9,12,3.0,0.0,56,5554775.0,55,9,96206,207.417
32,19,18,11,1,10,11,1.0,0.0,56,5564769.0,56,4,95715,208.481
33,19,12,4,1,11,13,2.0,0.0,56,5570757.0,52,15,96956,205.812
34,19,21,10,11,12,17,5.0,0.0,55,0.0,52,16,96962,205.8
35,19,22,11,11,13,14,1.0,0.0,55,0.0,55,11,96693,206.372
36,19,3,3,11,14,16,2.0,0.0,55,0.0,55,13,96782,206.182
37,19,19,8,11,15,21,6.0,0.0,55,0.0,55,18,98170,203.265
38,19,11,8,12,16,19,3.0,0.0,54,0.0,53,19,98503,202.578
39,19,6,3,12,17,22,5.0,0.0,54,0.0,19,17,97711,204.222
40,19,20,5,5,0,15,15.0,0.0,39,0.0,37,14,96870,205.995
41,19,13,6,20,0,1,1.0,0.0,30,0.0,15,5,95914,208.048
42,19,16,10,9,0,20,20.0,0.0,5,0.0,3,20,100330,198.891
43,19,10,7,4,0,10,10.0,0.0,1,0.0,0,0,0,0.0
44,19,7,5,20,0,18,18.0,0.0,0,0.0,0,0,0,0.0
45,20,13,6,1,1,2,1.0,10.0,57,5466970.0,38,3,93600,208.153
46,20,8,6,1,2,4,2.0,8.0,57,5470309.0,35,4,93709,207.911
47,20,9,2,1,3,1,-2.0,6.0,57,5471968.0,55,5,93775,207.765
48,20,2,2,1,4,6,2.0,5.0,57,5475379.0,48,2,93565,208.231
49,20,5,1,1,5,5,0.0,4.0,57,5493759.0,49,1,93193,209.062
50,20,15,7,1,6,7,1.0,3.0,57,5508284.0,45,7,94204,206.819
51,20,17,9,1,7,11,4.0,2.0,57,5512443.0,51,8,94305,206.597
52,20,3,3,1,8,8,0.0,1.0,57,5522859.0,57,6,94072,207.109
53,20,10,7,1,9,13,4.0,0.0,57,5536470.0,56,9,94807,205.503
54,20,4,4,1,10,10,0.0,0.0,57,5544151.0,35,13,95194,204.668
55,20,22,11,1,11,12,1.0,0.0,57,5544832.0,40,10,94854,205.399
56,20,21,10,11,12,18,6.0,0.0,56,0.0,56,11,95057,204.963
57,20,1,1,11,13,3,-10.0,0.0,56,0.0,25,19,95520,203.969
58,20,6,3,11,14,16,2.0,0.0,56,0.0,30,17,95433,204.155
59,20,7,5,11,15,15,0.0,0.0,56,0.0,33,15,95333,204.369
60,20,19,8,11,16,21,5.0,0.0,56,0.0,45,14,95324,204.389
61,20,11,8,11,17,22,5.0,0.0,56,0.0,56,20,95890,203.18
62,20,14,9,11,18,17,-1.0,0.0,56,0.0,43,16,95351,204.331
63,20,16,10,12,19,20,1.0,0.0,56,0.0,55,18,95442,204.136
64,20,12,4,6,0,14,14.0,0.0,40,0.0,31,12,95128,204.808
65,20,18,11,4,0,9,9.0,0.0,19,0.0,11,21,96125,202.686
66,20,20,5,5,0,19,19.0,0.0,0,0.0,0,0,0,0.0
67,21,8,6,1,1,1,0.0,10.0,66,5899051.0,46,1,81670,205.191
68,21,13,6,1,2,3,1.0,8.0,66,5902279.0,45,2,81801,204.863
69,21,1,1,1,3,5,2.0,6.0,66,5903238.0,20,3,82017,204.323
70,21,9,2,1,4,4,0.0,5.0,66,5904745.0,20,4,82106,204.102
71,21,17,9,1,5,7,2.0,4.0,66,5934989.0,19,8,82564,202.969
72,21,18,11,1,6,13,7.0,3.0,66,5952061.0,66,5,82353,203.489
73,21,6,3,1,7,12,5.0,2.0,66,5957295.0,48,15,83549,200.576
74,21,15,7,1,8,8,0.0,1.0,66,5958486.0,45,10,82758,202.494
75,21,2,2,1,9,9,0.0,0.0,66,5962124.0,21,7,82519,203.08
76,21,21,10,11,10,19,9.0,0.0,65,0.0,40,14,83439,200.841
77,21,10,7,11,11,14,3.0,0.0,65,0.0,57,12,83007,201.886
78,21,14,9,11,12,17,5.0,0.0,65,0.0,57,11,82842,202.288
